# t x vx y vy xd vxd yd vyd
2.23000000 31.53696286 14.14213581  7.14488752 -7.73416457 31.53696286 14.14213581  7.25426902 -7.73416457
2.24000000 31.67838422 14.14213581  7.06705537 -7.83226457 31.67838422 14.14213581  7.17692737 -7.83226457
2.25000000 31.81980558 14.14213581  6.98824223 -7.93036457 31.81980558 14.14213581  7.09860473 -7.93036457
2.26000000 31.96122694 14.14213581  6.90844808 -8.02846457 31.96122694 14.14213581  7.01930108 -8.02846457
2.27000000 32.10264830 14.14213581  6.82767294 -8.12656457 32.10264830 14.14213581  6.93901644 -8.12656457
2.28000000 32.24406965 14.14213581  6.74591679 -8.22466457 32.24406965 14.14213581  6.85775079 -8.22466457
2.29000000 32.38549101 14.14213581  6.66317964 -8.32276457 32.38549101 14.14213581  6.77550414 -8.32276457
2.30000000 32.52691237 14.14213581  6.57946150 -8.42086457 32.52691237 14.14213581  6.69227650 -8.42086457
2.31000000 32.66833373 14.14213581  6.49476235 -8.51896457 32.66833373 14.14213581  6.60806785 -8.51896457
2.32000000 32.80975509 14.14213581  6.40908221 -8.61706457 32.80975509 14.14213581  6.52287821 -8.61706457
2.33000000 32.95117644 14.14213581  6.32242106 -8.71516457 32.95117644 14.14213581  6.43670756 -8.71516457
2.34000000 33.09259780 14.14213581  6.23477892 -8.81326457 33.09259780 14.14213581  6.34955592 -8.81326457
2.35000000 33.23401916 14.14213581  6.14615577 -8.91136457 33.23401916 14.14213581  6.26142327 -8.91136457
2.36000000 33.37544052 14.14213581  6.05655162 -9.00946457 33.37544052 14.14213581  6.17230962 -9.00946457
2.37000000 33.51686188 14.14213581  5.96596648 -9.10756457 33.51686188 14.14213581  6.08221498 -9.10756457
2.38000000 33.65828324 14.14213581  5.87440033 -9.20566457 33.65828324 14.14213581  5.99113933 -9.20566457
2.39000000 33.79970459 14.14213581  5.78185319 -9.30376457 33.79970459 14.14213581  5.89908269 -9.30376457
2.40000000 33.94112595 14.14213581  5.68832504 -9.40186457 33.94112595 14.14213581  5.80604504 -9.40186457
2.41000000 34.08254731 14.14213581  5.59381590 -9.49996457 34.08254731 14.14213581  5.71202640 -9.49996457
2.42000000 34.22396867 14.14213581  5.49832575 -9.59806457 34.22396867 14.14213581  5.61702675 -9.59806457
2.43000000 34.36539003 14.14213581  5.40185461 -9.69616457 34.36539003 14.14213581  5.52104611 -9.69616457
2.44000000 34.50681138 14.14213581  5.30440246 -9.79426457 34.50681138 14.14213581  5.42408446 -9.79426457
2.45000000 34.64823274 14.14213581  5.20596931 -9.89236457 34.64823274 14.14213581  5.32614181 -9.89236457
2.46000000 34.78965410 14.14213581  5.10655517 -9.99046457 34.78965410 14.14213581  5.22721817 -9.99046457
2.47000000  34.93107546  14.14213581   5.00616002 -10.08856457  34.93107546  14.14213581   5.12731352 -10.08856457
2.48000000  35.07249682  14.14213581   4.90478388 -10.18666457  35.07249682  14.14213581   5.02642788 -10.18666457
2.49000000  35.21391817  14.14213581   4.80242673 -10.28476457  35.21391817  14.14213581   4.92456123 -10.28476457
2.50000000  35.35533953  14.14213581   4.69908859 -10.38286457  35.35533953  14.14213581   4.82171359 -10.38286457
2.51000000  35.49676089  14.14213581   4.59476944 -10.48096457  35.49676089  14.14213581   4.71788494 -10.48096457
2.52000000  35.63818225  14.14213581   4.48946929 -10.57906457  35.63818225  14.14213581   4.61307529 -10.57906457
